stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
18073,18073,"ЗВЕЗДНАЯ УЛ.,УГ. ПУЛКОВСКОЙ УЛ.",59.834198,30.351094,0,2,bus
18074,18074,ПЛОЩАДЬ МОРСКОЙ СЛАВЫ,59.926900,30.241470,0,2,bus
18076,18076,"ПУЛКОВСКАЯ УЛ., ТОРГОВЫЙ ЦЕНТР",59.838825,30.349697,0,2,bus
18077,18077,"СТ. МЕТРО ""СПОРТИВНАЯ""",59.951567,30.292622,0,2,bus
18078,18078,"СТ. МЕТРО ""СПОРТИВНАЯ""",59.951825,30.292708,0,2,bus
18031,18031,КРАСНОПУТИЛОВСКАЯ УЛ.,59.872899,30.267656,0,2,bus
18029,18029,"УЛ. ЗИНЫ ПОРТНОВОЙ,1",59.856702,30.256476,0,2,bus
18025,18025,"ТАЛЛИНСКАЯ УЛ., УГ. МАЛООХТИНСКОГО ПР.",59.921947,30.407699,0,2,bus
18022,18022,ПР. НАРОДНОГО ОПОЛЧЕНИЯ,59.848070,30.280423,0,2,bus
18023,18023,ЗОЛЬНАЯ УЛ.,59.915644,30.414587,0,2,bus
18020,18020,ГРАНИТНАЯ УЛ.,59.917349,30.412956,0,2,bus
18021,18021,ЗОЛЬНАЯ УЛ.,59.915515,30.414040,0,2,bus
18018,18018,"ОКТЯБРЬСКАЯ НАБ., 8",59.912088,30.419801,0,2,bus
18019,18019,"ОКТЯБРЬСКАЯ НАБ., 8",59.911557,30.420188,0,2,bus
18016,18016,"ОКТЯБРЬСКАЯ НАБ., 18",59.908744,30.427805,0,2,bus
18017,18017,"ОКТЯБРЬСКАЯ НАБ., 18",59.908034,30.428610,0,2,bus
18047,18047,ПР. ШАУМЯНА,59.939359,30.414898,0,2,bus
18046,18046,"МАГНИТОГОРСКАЯ УЛ., 51",59.940143,30.432649,0,2,bus
18045,18045,"МАГНИТОГОРСКАЯ УЛ., 51",59.939961,30.432429,0,2,bus
18043,18043,"МАГНИТОГОРСКАЯ УЛ., 37",59.939237,30.424943,0,2,bus
18042,18042,"МАГНИТОГОРСКАЯ УЛ., 37",59.939095,30.425059,0,2,bus
18041,18041,"МАГНИТОГОРСКАЯ УЛ., 11",59.938778,30.419898,0,2,bus
18040,18040,"МАГНИТОГОРСКАЯ УЛ., 11",59.938456,30.420102,0,2,bus
18038,18038,УЛ. ДЕСАНТНИКОВ ПО ПЕТЕРГОФСКОМУ ШОССЕ,59.846918,30.195952,0,2,bus
