trip_id,start_time,end_time,headway_secs,exact_times
8975493,06:00,10:00,20,0
8975450,06:00,10:00,20,0
8975464,06:00,10:00,20,0
8975484,06:00,10:00,20,0
8975454,06:00,10:00,20,0
8975495,06:00,10:00,20,0
8975474,06:00,10:00,20,0
8975466,06:00,10:00,20,0
8975486,06:00,10:00,20,0
8975541,20:00,24:00,22,0
8975557,20:00,24:00,22,0
8975549,20:00,24:00,22,0
8975572,20:00,24:00,22,0
8975566,20:00,24:00,22,0
8975544,20:00,24:00,22,0
8975560,20:00,24:00,22,0
8975574,20:00,24:00,22,0
8975568,20:00,24:00,22,0
8975552,20:00,24:00,22,0
8975546,20:00,24:00,22,0
8975562,20:00,24:00,22,0
8975576,20:00,24:00,22,0
8975554,20:00,24:00,22,0
8975531,16:00,20:00,22,0
8975517,16:00,20:00,22,0
8975527,16:00,20:00,22,0
8975537,16:00,20:00,22,0
8975522,16:00,20:00,22,0
8975533,16:00,20:00,22,0
8975519,16:00,20:00,22,0
8975529,16:00,20:00,22,0
8975539,16:00,20:00,22,0
8975524,16:00,20:00,22,0
8975535,16:00,20:00,22,0
8969908,10:00,16:00,20,0
8969918,10:00,16:00,20,0
8969941,10:00,16:00,20,0
8969937,10:00,16:00,20,0
8969910,10:00,16:00,20,0
8969920,10:00,16:00,20,0
8969929,10:00,16:00,20,0
8969981,10:00,16:00,20,0
8969971,10:00,16:00,20,0
8969943,10:00,16:00,20,0
8969952,10:00,16:00,20,0
8969962,10:00,16:00,20,0
8969973,10:00,16:00,20,0
8969946,10:00,16:00,20,0
8969984,10:00,16:00,20,0
8969955,10:00,16:00,20,0
8969964,10:00,16:00,20,0
8969989,10:00,16:00,20,0
8969900,06:00,10:00,20,0
8969902,06:00,10:00,20,0
8969903,06:00,10:00,20,0
8969922,06:00,10:00,20,0
8969913,06:00,10:00,20,0
8969932,06:00,10:00,20,0
8969905,06:00,10:00,20,0
8969924,06:00,10:00,20,0
8969915,06:00,10:00,20,0
8969934,06:00,10:00,20,0
8969939,06:00,10:00,20,0
8969926,06:00,10:00,20,0
8969996,20:00,24:00,22,0
8970004,20:00,24:00,22,0
8970011,20:00,24:00,22,0
8970022,20:00,24:00,22,0
8970016,20:00,24:00,22,0
8969998,20:00,24:00,22,0
8970006,20:00,24:00,22,0
8970024,20:00,24:00,22,0
8970018,20:00,24:00,22,0
8970000,20:00,24:00,22,0
8970008,20:00,24:00,22,0
8970026,20:00,24:00,22,0
8969976,16:00,20:00,20,0
8969948,16:00,20:00,20,0
8969986,16:00,20:00,20,0
8969957,16:00,20:00,20,0
8969966,16:00,20:00,20,0
8969991,16:00,20:00,20,0
8969978,16:00,20:00,20,0
8969950,16:00,20:00,20,0
8969959,16:00,20:00,20,0
8969993,16:00,20:00,20,0
8969969,16:00,20:00,20,0
8970014,16:00,20:00,20,0
8969940,10:00,16:00,21,0
8969927,10:00,16:00,21,0
8969909,10:00,16:00,21,0
8969919,10:00,16:00,21,0
8969942,10:00,16:00,21,0
8969938,10:00,16:00,21,0
8969911,10:00,16:00,21,0
8969921,10:00,16:00,21,0
8969930,10:00,16:00,21,0
8969982,10:00,16:00,21,0
8969972,10:00,16:00,21,0
8969944,10:00,16:00,21,0
8969953,10:00,16:00,21,0
8969963,10:00,16:00,21,0
8969974,10:00,16:00,21,0
8969947,10:00,16:00,21,0
8969985,10:00,16:00,21,0
8969899,06:00,10:00,22,0
8969901,06:00,10:00,22,0
8969912,06:00,10:00,22,0
8969931,06:00,10:00,22,0
8969904,06:00,10:00,22,0
8969923,06:00,10:00,22,0
8969914,06:00,10:00,22,0
8969933,06:00,10:00,22,0
8969906,06:00,10:00,22,0
8969925,06:00,10:00,22,0
8969916,06:00,10:00,22,0
8969935,06:00,10:00,22,0
8969970,20:00,24:00,22,0
8970015,20:00,24:00,22,0
8969997,20:00,24:00,22,0
8970005,20:00,24:00,22,0
8970012,20:00,24:00,22,0
8970023,20:00,24:00,22,0
8970017,20:00,24:00,22,0
8969999,20:00,24:00,22,0
8970007,20:00,24:00,22,0
8970025,20:00,24:00,22,0
8970019,20:00,24:00,22,0
8970001,20:00,24:00,22,0
8970009,20:00,24:00,22,0
8970027,20:00,24:00,22,0
8969956,16:00,20:00,18,0
8969965,16:00,20:00,18,0
8969990,16:00,20:00,18,0
8969977,16:00,20:00,18,0
8969949,16:00,20:00,18,0
8969987,16:00,20:00,18,0
8969958,16:00,20:00,18,0
8969967,16:00,20:00,18,0
8969992,16:00,20:00,18,0
8969979,16:00,20:00,18,0
8969951,16:00,20:00,18,0
8969960,16:00,20:00,18,0
8969994,16:00,20:00,18,0
9449148,10:00,16:00,17,0
9449076,10:00,16:00,17,0
9449121,10:00,16:00,17,0
9449140,10:00,16:00,17,0
9449054,10:00,16:00,17,0
9449150,10:00,16:00,17,0
9449100,10:00,16:00,17,0
9449078,10:00,16:00,17,0
9449123,10:00,16:00,17,0
9449160,10:00,16:00,17,0
9449056,10:00,16:00,17,0
9449152,10:00,16:00,17,0
9449102,10:00,16:00,17,0
9449143,10:00,16:00,17,0
9449080,10:00,16:00,17,0
9449171,10:00,16:00,17,0
9449125,10:00,16:00,17,0
9449162,10:00,16:00,17,0
9449059,10:00,16:00,17,0
9449105,10:00,16:00,17,0
9449145,10:00,16:00,17,0
9449071,06:00,10:00,27,0
9449116,06:00,10:00,27,0
9449049,06:00,10:00,27,0
9449095,06:00,10:00,27,0
9449073,06:00,10:00,27,0
9449118,06:00,10:00,27,0
9449051,06:00,10:00,27,0
9449097,06:00,10:00,27,0
9449138,06:00,10:00,27,0
9449167,20:00,24:00,20,0
9449088,20:00,24:00,20,0
9449133,20:00,24:00,20,0
9449178,20:00,24:00,20,0
9449066,20:00,24:00,20,0
9449112,20:00,24:00,20,0
9449169,20:00,24:00,20,0
9449090,20:00,24:00,20,0
9449135,20:00,24:00,20,0
9449068,20:00,24:00,20,0
9449114,20:00,24:00,20,0
9449092,20:00,24:00,20,0
9449083,16:00,20:00,18,0
9449173,16:00,20:00,18,0
9449128,16:00,20:00,18,0
9449155,16:00,20:00,18,0
9449061,16:00,20:00,18,0
9449107,16:00,20:00,18,0
9449085,16:00,20:00,18,0
9449165,16:00,20:00,18,0
